sample_id,original_sample_id,sample_type,source,tif_path,x,y,valid_ratio,change_ratio,change_pixels,valid_pixels,selection_valid_min,selection_pos_min,selection_neg_max,selection_stride
000000,gfc_2018_2020_expansion_temperate_europe_01_001024_002752,positive,gfc_2018_2020_expansion_temperate_europe_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_temperate_europe_01.tif,2752,1024,0.05010986328125,0.9604141291108405,3154,3284,0.05,0.05,0.03,64
000001,gfc_2018_2020_expansion_boreal_canada_01_002816_002944,positive,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,2944,2816,0.064208984375,1.0,4208,4208,0.05,0.05,0.03,64
000002,gfc_2018_2020_expansion_boreal_canada_01_001344_002496,negative,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,2496,1344,0.1234588623046875,0.0004943764676801385,4,8091,0.05,0.05,0.03,64
000003,gfc_2018_2020_expansion_congo_angola_01_001088_001024,positive,gfc_2018_2020_expansion_congo_angola_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_congo_angola_01.tif,1024,1088,0.125946044921875,0.2856796704628059,2358,8254,0.05,0.05,0.03,64
000004,gfc_2018_2020_amazon_01_004928_005568,positive,gfc_2018_2020_amazon_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_amazon_01.tif,5568,4928,0.057708740234375,0.32231623479640403,1219,3782,0.05,0.05,0.03,64
000005,gfc_2018_2020_expansion_temperate_china_01_006144_001216,positive,gfc_2018_2020_expansion_temperate_china_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_temperate_china_01.tif,1216,6144,0.0527191162109375,0.3606367583212735,1246,3455,0.05,0.05,0.03,64
000006,gfc_2018_2020_expansion_amazon_bolivia_01_004544_006976,negative,gfc_2018_2020_expansion_amazon_bolivia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_bolivia_01.tif,6976,4544,0.0788726806640625,0.0023215322112594312,12,5169,0.05,0.05,0.03,64
000007,gfc_2018_2020_expansion_congo_caf_01_004992_004352,positive,gfc_2018_2020_expansion_congo_caf_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_congo_caf_01.tif,4352,4992,0.063232421875,0.21814671814671815,904,4144,0.05,0.05,0.03,64
000008,gfc_2018_2020_expansion_se_asia_borneo_03_001728_005376,positive,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,5376,1728,0.086212158203125,0.30212389380530974,1707,5650,0.05,0.05,0.03,64
000009,gfc_2018_2020_expansion_boreal_siberia_01_003392_006720,negative,gfc_2018_2020_expansion_boreal_siberia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_siberia_01.tif,6720,3392,0.05133056640625,0.0038644470868014267,13,3364,0.05,0.05,0.03,64
000010,gfc_2018_2020_borneo_02_005760_004096,positive,gfc_2018_2020_borneo_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_borneo_02.tif,4096,5760,0.1787261962890625,0.8077349953043627,9461,11713,0.05,0.05,0.03,64
000011,gfc_2018_2020_expansion_amazon_bolivia_01_004416_005888,positive,gfc_2018_2020_expansion_amazon_bolivia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_bolivia_01.tif,5888,4416,0.092926025390625,0.9018062397372743,5492,6090,0.05,0.05,0.03,64
000012,gfc_2018_2020_expansion_boreal_siberia_01_002240_000320,negative,gfc_2018_2020_expansion_boreal_siberia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_siberia_01.tif,320,2240,0.0971527099609375,0.015863043819695305,101,6367,0.05,0.05,0.03,64
000013,gfc_2018_2020_expansion_temperate_europe_01_000000_003584,positive,gfc_2018_2020_expansion_temperate_europe_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_temperate_europe_01.tif,3584,0,0.101318359375,0.36927710843373496,2452,6640,0.05,0.05,0.03,64
000014,gfc_2018_2020_expansion_mexico_yucatan_01_002944_003776,positive,gfc_2018_2020_expansion_mexico_yucatan_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_mexico_yucatan_01.tif,3776,2944,0.1100616455078125,0.6274781644253431,4526,7213,0.05,0.05,0.03,64
000015,gfc_2018_2020_expansion_boreal_canada_01_006528_002624,negative,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,2624,6528,0.062774658203125,0.0,0,4114,0.05,0.05,0.03,64
000016,gfc_2018_2020_expansion_se_asia_borneo_03_003904_002880,positive,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,2880,3904,0.051788330078125,0.6558632881555686,2226,3394,0.05,0.05,0.03,64
000017,gfc_2018_2020_expansion_congo_caf_01_005760_004224,positive,gfc_2018_2020_expansion_congo_caf_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_congo_caf_01.tif,4224,5760,0.1093292236328125,0.43754361479413817,3135,7165,0.05,0.05,0.03,64
000018,gfc_2018_2020_expansion_congo_cameroon_01_001792_001600,positive,gfc_2018_2020_expansion_congo_cameroon_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_congo_cameroon_01.tif,1600,1792,0.0557403564453125,0.3033123460169724,1108,3653,0.05,0.05,0.03,64
000019,gfc_2018_2020_expansion_mexico_yucatan_01_002112_001280,positive,gfc_2018_2020_expansion_mexico_yucatan_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_mexico_yucatan_01.tif,1280,2112,0.089874267578125,0.3760611205432937,2215,5890,0.05,0.05,0.03,64
000020,gfc_2018_2020_expansion_se_asia_borneo_03_005568_004608,positive,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,4608,5568,0.1004180908203125,0.5698222154687738,3750,6581,0.05,0.05,0.03,64
000021,gfc_2018_2020_expansion_boreal_canada_01_006400_000320,negative,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,320,6400,0.0838165283203125,0.025304933551793193,139,5493,0.05,0.05,0.03,64
000022,gfc_2018_2020_expansion_madagascar_east_01_002944_004544,positive,gfc_2018_2020_expansion_madagascar_east_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_madagascar_east_01.tif,4544,2944,0.1488037109375,0.25933141919606234,2529,9752,0.05,0.05,0.03,64
000023,gfc_2018_2020_expansion_central_america_01_006976_004864,positive,gfc_2018_2020_expansion_central_america_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_central_america_01.tif,4864,6976,0.05413818359375,0.37767756482525366,1340,3548,0.05,0.05,0.03,64
000024,gfc_2018_2020_expansion_amazon_guiana_01_000896_005504,negative,gfc_2018_2020_expansion_amazon_guiana_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_guiana_01.tif,5504,896,0.194305419921875,0.0,0,12734,0.05,0.05,0.03,64
000025,gfc_2018_2020_expansion_se_asia_sumatra_02_000064_005888,positive,gfc_2018_2020_expansion_se_asia_sumatra_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_sumatra_02.tif,5888,64,0.1616058349609375,0.34066660372013974,3608,10591,0.05,0.05,0.03,64
000026,gfc_2018_2020_borneo_02_001280_000896,positive,gfc_2018_2020_borneo_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_borneo_02.tif,896,1280,0.152923583984375,0.10067850728397526,1009,10022,0.05,0.05,0.03,64
000027,gfc_2018_2020_expansion_se_asia_borneo_03_001152_003904,negative,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,3904,1152,0.288818359375,0.026204564666103127,496,18928,0.05,0.05,0.03,64
000028,gfc_2018_2020_amazon_01_005888_000320,positive,gfc_2018_2020_amazon_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_amazon_01.tif,320,5888,0.058258056640625,0.4918805657412258,1878,3818,0.05,0.05,0.03,64
000029,gfc_2018_2020_expansion_se_asia_borneo_03_001856_004416,negative,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,4416,1856,0.3965606689453125,0.02612643810843049,679,25989,0.05,0.05,0.03,64
000030,gfc_2018_2020_amazon_02_003904_005632,positive,gfc_2018_2020_amazon_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_amazon_02.tif,5632,3904,0.0614471435546875,0.7665756146014403,3087,4027,0.05,0.05,0.03,64
000031,gfc_2018_2020_expansion_madagascar_east_01_003584_002240,positive,gfc_2018_2020_expansion_madagascar_east_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_madagascar_east_01.tif,2240,3584,0.0635223388671875,0.1789574825846745,745,4163,0.05,0.05,0.03,64
000032,gfc_2018_2020_expansion_se_asia_papua_01_003968_001344,positive,gfc_2018_2020_expansion_se_asia_papua_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_papua_01.tif,1344,3968,0.0516815185546875,0.28196043696486567,955,3387,0.05,0.05,0.03,64
000033,gfc_2018_2020_expansion_congo_caf_01_003072_004608,positive,gfc_2018_2020_expansion_congo_caf_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_congo_caf_01.tif,4608,3072,0.0595855712890625,0.2962868117797695,1157,3905,0.05,0.05,0.03,64
000034,gfc_2018_2020_expansion_boreal_canada_01_000832_003776,negative,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,3776,832,0.0591583251953125,0.00025793139025019347,1,3877,0.05,0.05,0.03,64
000035,gfc_2018_2020_expansion_andes_cloudforest_01_006592_001856,positive,gfc_2018_2020_expansion_andes_cloudforest_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_andes_cloudforest_01.tif,1856,6592,0.156982421875,0.4402216174183515,4529,10288,0.05,0.05,0.03,64
000036,gfc_2018_2020_expansion_amazon_bolivia_01_002880_006208,negative,gfc_2018_2020_expansion_amazon_bolivia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_bolivia_01.tif,6208,2880,0.061279296875,0.0,0,4016,0.05,0.05,0.03,64
000037,gfc_2018_2020_borneo_02_005184_006848,positive,gfc_2018_2020_borneo_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_borneo_02.tif,6848,5184,0.059051513671875,0.07777777777777778,301,3870,0.05,0.05,0.03,64
000038,gfc_2018_2020_expansion_se_asia_sumatra_02_005248_003648,positive,gfc_2018_2020_expansion_se_asia_sumatra_02,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_sumatra_02.tif,3648,5248,0.0749053955078125,0.4076186596048075,2001,4909,0.05,0.05,0.03,64
000039,gfc_2018_2020_expansion_se_asia_borneo_03_005056_001152,positive,gfc_2018_2020_expansion_se_asia_borneo_03,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_se_asia_borneo_03.tif,1152,5056,0.0941619873046875,0.3670393777345649,2265,6171,0.05,0.05,0.03,64
000040,gfc_2018_2020_amazon_01_004800_000768,positive,gfc_2018_2020_amazon_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_amazon_01.tif,768,4800,0.0986480712890625,0.20866202629543698,1349,6465,0.05,0.05,0.03,64
000041,gfc_2018_2020_expansion_amazon_bolivia_01_000064_002944,positive,gfc_2018_2020_expansion_amazon_bolivia_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_bolivia_01.tif,2944,64,0.06060791015625,0.0581570996978852,231,3972,0.05,0.05,0.03,64
000042,gfc_2018_2020_expansion_boreal_canada_01_005568_005376,positive,gfc_2018_2020_expansion_boreal_canada_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_boreal_canada_01.tif,5376,5568,0.0699615478515625,0.352453653217012,1616,4585,0.05,0.05,0.03,64
000043,gfc_2018_2020_amazon_01_006208_005888,positive,gfc_2018_2020_amazon_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports/gfc_2018_2020_amazon_01.tif,5888,6208,0.100677490234375,0.12518945134889362,826,6598,0.05,0.05,0.03,64
000044,gfc_2018_2020_expansion_amazon_guiana_01_000320_004736,negative,gfc_2018_2020_expansion_amazon_guiana_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/GEE_exports_expansion/gfc_2018_2020_expansion_amazon_guiana_01.tif,4736,320,0.1308441162109375,0.02728862973760933,234,8575,0.05,0.05,0.03,64
