audit_id,sample_id,sample_type,split,source,valid_bin,valid_ratio,change_ratio,A_path,B_path,label_path,annotator_1_quality,annotator_2_quality,final_quality,error_type,notes
GFC10K-AUDIT-0001,000960,positive,test,gfc_2018_2020_expansion_boreal_canada_01,>=0.40,0.536789,0.962790,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000960.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000960.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000960.png,,,,,
GFC10K-AUDIT-0002,008152,positive,test,gfc_2018_2020_expansion_se_asia_borneo_03,>=0.40,0.712357,0.527643,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/008152.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/008152.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/008152.png,,,,,
GFC10K-AUDIT-0003,005786,positive,test,gfc_2018_2020_expansion_se_asia_myanmar_01,0.05-0.10,0.055588,0.100192,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/005786.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/005786.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/005786.png,,,,,
GFC10K-AUDIT-0004,007782,positive,val,gfc_2018_2020_expansion_boreal_siberia_01,0.05-0.10,0.070053,0.598562,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/007782.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/007782.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/007782.png,,,,,
GFC10K-AUDIT-0005,005368,positive,val,gfc_2018_2020_borneo_02,0.20-0.40,0.382980,0.069126,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/005368.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/005368.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/005368.png,,,,,
GFC10K-AUDIT-0006,005376,positive,test,gfc_2018_2020_expansion_andes_cloudforest_01,0.10-0.20,0.100357,0.054280,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/005376.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/005376.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/005376.png,,,,,
GFC10K-AUDIT-0007,002186,positive,train,gfc_2018_2020_borneo_01,0.20-0.40,0.238586,0.357892,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002186.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002186.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002186.png,,,,,
GFC10K-AUDIT-0008,003415,positive,val,gfc_2018_2020_expansion_mexico_yucatan_01,0.10-0.20,0.101318,0.265211,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003415.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003415.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003415.png,,,,,
GFC10K-AUDIT-0009,006622,positive,val,gfc_2018_2020_borneo_01,0.05-0.10,0.051773,0.537872,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006622.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006622.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006622.png,,,,,
GFC10K-AUDIT-0010,001234,positive,val,gfc_2018_2020_expansion_amazon_venezuela_01,0.05-0.10,0.060211,0.346427,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001234.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001234.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001234.png,,,,,
GFC10K-AUDIT-0011,001585,positive,test,gfc_2018_2020_expansion_boreal_canada_01,0.10-0.20,0.152969,0.629426,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001585.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001585.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001585.png,,,,,
GFC10K-AUDIT-0012,001000,positive,train,gfc_2018_2020_expansion_central_america_01,0.10-0.20,0.150192,0.507569,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001000.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001000.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001000.png,,,,,
GFC10K-AUDIT-0013,000912,positive,val,gfc_2018_2020_amazon_02,0.20-0.40,0.263321,0.241004,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000912.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000912.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000912.png,,,,,
